typeI_score,typeII_score,typeIII_score,typeIV_score,typeV_score,actual_type
1.1217,2.1783,-0.9990000000000001,-0.30100000000000005,-2.0,II
-0.485,-0.21500000000000002,-2.0,1.6989999999999998,1.001,II
0.44459999999999994,0.33880000000000005,0.5117,0.5979,-1.893,II
1.0903999999999998,2.0247,-0.029100000000000015,-1.0941,-1.9919000000000002,I
0.8609,1.566,0.058099999999999985,-0.4850000000000001,-2.0,I
0.8606,2.4394,-0.966,-0.3430000000000001,-1.991,II
0.8713,2.4286000000000003,-0.5529,-0.7469999999999999,-2.0,II
-2.0979,2.1329000000000002,1.096,-0.30200000000000005,-0.829,II
1.8545,1.4454,-0.9539,-0.3460000000000001,-2.0,I
-0.13880000000000003,-0.3182,0.063,1.637,-1.2429999999999999,II
-0.27690000000000003,1.4389999999999998,-1.0,1.6989999999999998,-1.8611,II
0.735,0.6185,0.7135,-0.06700000000000006,-2.0,II
0.8709,1.4301,0.813,-1.114,-2.0,I
0.8301000000000001,0.4656000000000001,1.9922,-1.2949000000000002,-1.993,I
0.8240999999999999,2.3735999999999997,-0.7947,-0.40400000000000014,-1.999,I
-1.1400000000000001,1.44,2.0,-0.30000000000000004,-2.0,III
-1.0511,2.273,0.6641,0.11399999999999993,-2.0,II
-2.14,-0.558,2.0,-0.30200000000000005,1.0,V
0.9047999999999999,2.3124000000000002,0.07609999999999995,-1.295,-1.9983,II
1.0482,2.2508,-0.20999999999999996,-1.089,-2.0,I
-0.7844,1.2815,-0.16799999999999993,1.6709,-2.0,III
-0.14249999999999996,-0.5805,-1.9769999999999999,1.7,1.0,IV
-2.14,-0.39,1.0,0.5389999999999999,0.991,IV
-1.2166000000000001,2.4400000000000004,-0.5523,0.32899999999999996,-1.0001,II
0.86,2.4400000000000004,-0.984,-0.31600000000000006,-2.0,II
-0.13990000000000002,2.4398999999999997,-1.0,0.7,-2.0,I
0.8613,2.4387,-0.9990000000000001,-0.30100000000000005,-2.0,I
1.4786000000000001,1.2933000000000001,-0.998,-0.42890000000000006,-1.345,I
1.8576000000000001,1.44,-0.056600000000000095,-1.247,-1.994,I
0.8602,2.4398,-0.6799999999999999,-0.6200000000000001,-2.0,IV
-1.1415000000000002,-0.5793999999999999,1.012,1.688,-0.9791,III
0.8596,2.4400000000000004,-0.946,-0.35360000000000014,-2.0,II
-1.1384,1.44,1.9984,-0.30000000000000004,-2.0,V
-0.14,2.436,-1.0,0.704,-2.0,IV
0.86,2.4400000000000004,-0.8959999999999999,-0.404,-2.0,II
0.8612,2.4388,-0.8180000000000001,-0.4820000000000001,-2.0,I
-0.3125,2.3522,0.02729999999999999,-0.06700000000000006,-2.0,II
1.3002,1.9944000000000002,-0.05300000000000005,-1.3756,-1.866,I
0.9375,2.3625,-0.7090000000000001,-0.5910000000000002,-2.0,II
-1.1437,-0.5523,2.0,-1.294,0.99,III
1.849,1.4499,-0.9649000000000001,-0.3350000000000001,-1.999,I
